,message,label
0,That depends. How would you like to be treated? :),ham
1,"Right on brah, see you later",ham
2,Waiting in e car 4 my mum lor. U leh? Reach home already?,ham
3,Your 2004 account for 07XXXXXXXXX shows 786 unredeemed points. To claim call 08719181259 Identifier code: XXXXX Expires 26.03.05,spam
4,Do you want a new video handset? 750 anytime any network mins? Half Price Line Rental? Camcorder? Reply or call 08000930705 for delivery tomorrow,spam
5,Went fast asleep dear.take care.,ham
6,No that just means you have a fat head,ham
7,Sounds like a plan! Cardiff is still here and still cold! I'm sitting on the radiator!,ham
8,Serious? What like proper tongued her,ham
9,She.s good. She was wondering if you wont say hi but she.s smiling now. So how are you coping with the long distance,ham
10,How i noe... She's in da car now... Later then c lar... I'm wearing shorts...,ham
11,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,spam
12,Yeah whatever lol,ham
13,Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy,ham
14,Ard 530 lor. I ok then message �_ lor.,ham
15,Ok. C u then.,ham
16,Eh ur laptop got no stock lei... He say mon muz come again to take a look c got a not...,ham
17,No need to ke qi... �� too bored izzit y suddenly thk of this...,ham
18,I wish! I don't think its gonna snow that much. But it will be more than those flurries we usually get that melt before they hit the ground. Eek! We haven't had snow since &lt;#&gt; before I was even born!,ham
19,FREE>Ringtone! Reply REAL or POLY eg REAL1 1. PushButton 2. DontCha 3. BabyGoodbye 4. GoldDigger 5. WeBeBurnin 1st tone FREE and 6 more when u join for �3/wk,spam
20,"Do 1 thing! Change that sentence into: \Because i want 2 concentrate in my educational career im leaving here..\""""",ham
21,"Oh really? perform, write a paper, go to a movie AND be home by midnight, huh?",ham
22,Okay lor... Will they still let us go a not ah? Coz they will not know until later. We drop our cards into the box right?,ham
23,How? Izzit still raining?,ham
24,As if i wasn't having enough trouble sleeping.,ham
25,I havent add �_ yet right.. ,ham
26,Lol ... I really need to remember to eat when I'm drinking but I do appreciate you keeping me company that night babe *smiles*,ham
27,Babe ? I lost you ... Will you try rebooting ?,ham
28,Yes. Nigh you cant aha.,ham
29,I thk �_ gotta go home by urself. Cos i'll b going out shopping 4 my frens present. ,ham
30,Nooooooo I'm gonna be bored to death all day. Cable and internet outage.,ham
31,Sos! Any amount i can get pls.,ham
32,"Playin space poker, u?",ham
33,How come guoyang go n tell her? Then u told her?,ham
34,You need to get up. Now.,ham
35,They r giving a second chance to rahul dengra.,ham
36,"Yeah, in fact he just asked if we needed anything like an hour ago. When and how much?",ham
37,WHEN THE FIRST STRIKE IS A RED ONE. THE BIRD + ANTELOPE BEGIN TOPLAY IN THE FIELDOF SELFINDEPENDENCE BELIEVE THIS + THE FLOWER OF CONTENTION WILL GROW.RANDOM!,ham
38,Y �_ wan to go there? C doctor?,ham
39,Does daddy have a bb now.,ham
40,"Free Msg: get Gnarls Barkleys \Crazy\"" ringtone TOTALLY FREE just reply GO to this message right now!""",spam
41,She's borderline but yeah whatever.,ham
42,I got a call from a landline number. . . I am asked to come to anna nagar . . . I will go in the afternoon,ham
43,"Until 545 lor... Ya, can go 4 dinner together...",ham
44,I will be gentle princess! We will make sweet gentle love...,ham
45,How u doin baby girl ?? hope u are okay every time I call ure phone is off! I miss u get in touch,ham
46,"Sorry, went to bed early, nightnight",ham
47,I like to think there's always the possibility of being in a pub later.,ham
48,HMM yeah if your not too grooved out! And im looking forward to my pound special :),ham
49,I got to video tape pple type in message lor. U so free wan 2 help me? Hee... Cos i noe u wan 2 watch infernal affairs so ask u along. Asking shuhui oso.,ham
50,Hi dude hw r u da realy mising u today,ham
51,Me hungry buy some food good lei... But mum n yun dun wan juz buy a little bit... ,ham
52,Refused a loan? Secured or Unsecured? Can't get credit? Call free now 0800 195 6669 or text back 'help' & we will!,spam
53,I probably won't eat at all today. I think I'm gonna pop. How was your weekend? Did u miss me?,ham
54,I knew it... U slept v late yest? Wake up so late...,ham
55,Haha... dont be angry with yourself... Take it as a practice for the real thing. =) ,ham
56,Where is that one day training:-),ham
57,So i could kiss and feel you next to me...,ham
